x,y,z,t
4572781.585629345,3156178.5187009503,3121405.650458467,10.700000000000001
4572766.310786989,3156192.4560576924,3121413.879562174,10.8
4572751.035893551,3156206.3933381657,3121422.1086590574,10.9
4572735.760949032,3156220.3305423707,3121430.3377491185,11.0
4572720.485953431,3156234.267670305,3121438.5668323566,11.100000000000001
4572705.2109067505,3156248.2047219705,3121446.795908772,11.200000000000001
4572689.935808987,3156262.141697365,3121455.0249783644,11.3
4572674.660660147,3156276.078596491,3121463.254041135,11.4
4572659.385460225,3156290.0154193453,3121471.483097082,11.5
4572644.110209227,3156303.9521659305,3121479.712146206,11.600000000000001
4572628.834907146,3156317.8888362437,3121487.9411885077,11.700000000000001
4572613.559553989,3156331.825430287,3121496.1702239867,11.8
4572598.284149754,3156345.761948058,3121504.3992526424,11.9
4572583.008694441,3156359.698389558,3121512.6282744757,12.0
4572567.733188051,3156373.634754787,3121520.857289485,12.100000000000001
4572552.457630583,3156387.5710437433,3121529.0862976727,12.200000000000001
4572537.18202204,3156401.5072564287,3121537.3152990374,12.3
4572521.90636242,3156415.4433928407,3121545.5442935782,12.4
4572506.6306517245,3156429.3794529806,3121553.7732812967,12.5
4572491.354889954,3156443.315436848,3121562.0022621923,12.600000000000001
4572476.079077109,3156457.2513444424,3121570.231236265,12.700000000000001
4572460.8032131875,3156471.187175763,3121578.460203514,12.8
4572445.527298193,3156485.1229308113,3121586.689163941,12.9
4572430.251332127,3156499.0586095853,3121594.918117544,13.0
4572414.975314985,3156512.9942120863,3121603.1470643245,13.100000000000001
4572399.69924677,3156526.929738312,3121611.376004282,13.200000000000001
4572384.423127483,3156540.8651882643,3121619.6049374156,13.3
4572369.146957123,3156554.800561942,3121627.8338637264,13.4
4572353.870735694,3156568.7358593456,3121636.0627832147,13.5
4572338.59446319,3156582.671080474,3121644.291695879,13.600000000000001
4572323.318139616,3156596.6062253267,3121652.520601721,13.700000000000001
4572308.041764973,3156610.541293905,3121660.7495007385,13.8
4572292.765339258,3156624.4762862073,3121668.9783929344,13.9
4572277.488862473,3156638.4112022333,3121677.2072783057,14.0
4572262.21233462,3156652.346041985,3121685.436156855,14.100000000000001
4572246.935755696,3156666.280805459,3121693.66502858,14.200000000000001
4572231.659125705,3156680.215492657,3121701.893893482,14.3
4572216.382444643,3156694.150103578,3121710.122751561,14.4
4572201.105712515,3156708.084638222,3121718.351602816,14.5
4572185.82892932,3156722.0190965896,3121726.5804472486,14.600000000000001
4572170.552095057,3156735.95347868,3121734.809284857,14.700000000000001
4572155.275209727,3156749.8877844927,3121743.038115643,14.8
4572139.998273331,3156763.822014028,3121751.2669396047,14.9
4572124.721285868,3156777.7561672847,3121759.495756743,15.0
4572109.444247341,3156791.690244264,3121767.7245670585,15.100000000000001
4572094.167157747,3156805.6242449638,3121775.9533705506,15.200000000000001
4572078.8900170885,3156819.558169386,3121784.182167218,15.3
4572063.612825366,3156833.4920175285,3121792.410957063,15.4
4572048.3355825795,3156847.4257893926,3121800.639740084,15.5
4572033.05828873,3156861.359484979,3121808.8685162817,15.600000000000001
4572017.780943815,3156875.2931042835,3121817.097285656,15.700000000000001
4572002.503547839,3156889.2266473095,3121825.326048206,15.8
4571987.2261008,3156903.1601140546,3121833.5548039335,15.9
4571971.948602697,3156917.0935045206,3121841.783552837,16.0
4571956.671053535,3156931.0268187067,3121850.0122949174,16.1
4571941.393453309,3156944.960056611,3121858.241030173,16.2
4571926.115802024,3156958.893218235,3121866.4697586065,16.3
4571910.838099678,3156972.826303579,3121874.6984802145,16.400000000000002
4571895.560346271,3156986.75931264,3121882.927195,16.5
4571880.282541803,3157000.692245419,3121891.1559029613,16.6
4571865.004686278,3157014.625101919,3121899.384604099,16.7
4571849.726779694,3157028.557882136,3121907.613298414,16.8
4571834.448822049,3157042.4905860703,3121915.841985904,16.900000000000002
4571819.170813347,3157056.4232137226,3121924.07066657,17.0
4571803.892753586,3157070.355765093,3121932.299340413,17.1
4571788.614642768,3157084.2882401804,3121940.5280074324,17.2
4571773.336480894,3157098.2206389843,3121948.756667627,17.3
4571758.058267963,3157112.1529615056,3121956.9853209984,17.400000000000002
4571742.780003973,3157126.085207743,3121965.213967546,17.5
4571727.50168893,3157140.0173776974,3121973.442607269,17.6
4571712.223322831,3157153.949471368,3121981.671240169,17.7
4571696.944905675,3157167.881488754,3121989.899866244,17.8
4571681.666437466,3157181.8134298553,3121998.1284854957,17.900000000000002
4571666.387918201,3157195.745294674,3122006.357097924,18.0
4571651.109347883,3157209.677083206,3122014.5857035266,18.1
4571635.83072651,3157223.608795454,3122022.814302307,18.2
4571620.552054085,3157237.540431416,3122031.042894263,18.3
4571605.273330607,3157251.4719910948,3122039.2714793943,18.400000000000002
4571589.994556076,3157265.403474486,3122047.500057702,18.5
4571574.715730493,3157279.3348815925,3122055.7286291863,18.6
4571559.436853858,3157293.2662124126,3122063.9571938454,18.7
4571544.157926171,3157307.1974669457,3122072.1857516808,18.8
4571528.878947434,3157321.1286451933,3122080.4143026923,18.900000000000002
